Order_ID,Order_Date,Shipment_Date,Delivery_Date,Customer_ID,Customer_Region,Customer_Country,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Region,Warehouse_ID,Warehouse_Location,Transportation_Mode,Order_Quantity,Unit_Price,Total_Cost,Shipping_Cost,Delivery_Time_Days,Inventory_Level,Order_Status,Profit
100000,2024-12-04,2024-12-04,2024-12-13,C6734,Asia,China,P16265,Denimeans,Apparel,S566,Atlasourcing,Europe,WH2,Lahore,Road,224,6.39,671.36,8.82,9,2285,Delivered,668.08
100001,2025-02-17,2025-02-22,2025-02-25,C7420,Africa,Egypt,P93104,Bluetoothpeaker,Electronics,S559,BlueRiverrading,Europe,WH4,Istanbul,Road,323,64.66,5485.18,1.63,3,797,Cancelled,-21.2
100002,2025-11-30,2025-11-30,2025-12-04,C2267,Africa,Kenya,P41551,Faceaskox,Healthcare,S604,Atlasourcing,Middleast,WH0,Cairo,Road,140,8.52,992.8,6.44,4,846,Inransit,2109.07
100003,2024-08-29,2024-08-30,2024-09-03,C7235,Asia,Vietnam,P33483,Bottledaterase,FMCG,S554,Zenithrocurement,Northmerica,WH3,Dubai,Air,437,7.28,1921.36,6.83,4,4314,Delivered,821.66
100004,2025-01-24,2025-01-29,2025-02-17,C7873,Northmerica,Unitedtates,P81211,Powerank,Electronics,S261,BlueRiverrading,Northmerica,WH6,Amsterdam,Sea,211,8.98,6294.78,0.79,19,319,Delivered,13786.48
100005,2025-02-12,2025-06-12,2025-11-12,C5887,Asia,China,P22185,Storageabinet,Furniture,S316,BlueRiverrading,Middleast,WH2,Lahore,Air,261,28.18,9554.98,5.42,5,542,Delivered,7811.56
100006,2024-09-12,2024-09-12,2024-12-13,C6258,Africa,Nigeria,P97538,Firstidit,Healthcare,S692,BlueRiverrading,Asia,WH4,Istanbul,Air,401,7.78,7179.78,4.5,4,3761,Delivered,4897.75
100007,2024-02-02,2024-07-02,2024-12-02,C9154,Asia,Vietnam,P80592,Shampooack,FMCG,S838,Evergreenartners,Northmerica,WH8,Chicago,Air,110,8.73,360.3,5.64,5,2990,Delivered,769.61
100008,2025-01-27,2025-01-28,2025-01-30,C8858,Europe,Italy,P60015,Denimeans,Apparel,S842,Novandustrial,Asia,WH0,Cairo,Air,250,4.58,1145.0,4.71,2,245,Delivered,1380.36
100009,2025-10-16,2025-10-18,2025-11-09,C4157,Africa,Kenya,P32299,Bottledaterase,FMCG,S677,Evergreenartners,Northmerica,WH9,Johannesburg,Sea,179,1.37,405.23,1.28,22,3360,Delivered,538.59
100010,2024-11-26,2024-11-27,2024-12-13,C8392,Northmerica,Unitedtates,P40080,Shampooack,FMCG,S476,Zenithrocurement,Middleast,WH5,Frankfurt,Sea,292,4.22,72.24,3.34,16,2975,Delivered,491.66
100011,2024-11-13,2024-11-17,2024-11-24,C1663,Europe,Netherlands,P44766,Denimeans,Apparel,S926,Pioneeristribution,Middleast,WH8,Chicago,Road,383,4.06,3044.98,3.33,7,1645,Delivered,3816.54
100012,2025-05-24,2025-05-25,2025-06-06,C4696,Northmerica,Unitedtates,P36736,Detergentag,FMCG,S101,Summitupplyo,Northmerica,WH0,Cairo,Sea,139,3.5,266.5,0.82,12,1154,Delivered,257.23
100013,2025-11-14,2025-11-15,2025-11-24,C5931,Africa,Egypt,P62662,Denimeans,Apparel,S302,Crescentogistics,Africa,WH8,Chicago,Rail,193,6.14,975.02,1.39,9,916,Delivered,2057.99
100014,2025-05-25,2025-05-25,2025-06-04,C3511,Asia,Vietnam,P25708,Smartatch,Electronics,S870,Crescentogistics,Middleast,WH0,Cairo,Road,157,87.12,9377.84,6.92,10,452,Delivered,3767.33
100015,2025-03-05,2025-03-05,2025-12-05,C3385,Middleast,Oman,P21111,Faceaskox,Healthcare,S740,Summitupplyo,Northmerica,WH9,Johannesburg,Road,276,5.97,927.72,0.3,9,4261,Delivered,900.44
100016,2025-07-25,2025-07-25,2025-07-28,C5548,Asia,China,P39855,Handanitizerase,Healthcare,S108,Zenithrocurement,Asia,WH5,Frankfurt,Road,242,6.64,866.88,4.32,3,2455,Delivered,1505.32
100017,2025-09-08,2025-09-08,2025-09-19,C5199,Europe,Spain,P71267,Wirelessarbuds,Electronics,S353,Summitupplyo,Europe,WH9,Johannesburg,Rail,236,5.19,8424.84,2.17,11,1546,Inransit,4952.01
100018,2024-11-06,2024-11-06,2024-11-16,C6699,Northmerica,Mexico,P33328,Thermometer,Healthcare,S497,Atlasourcing,Europe,WH6,Amsterdam,Road,286,2.66,480.76,0.58,10,1727,Delivered,987.11
100019,2025-04-04,2025-06-04,2025-06-16,C2045,Africa,Morocco,P16893,Router,Electronics,S769,Zenithrocurement,Middleast,WH1,Karachi,Sea,47,41.77,763.19,0.88,12,612,Delivered,3962.57
100020,2024-10-10,2024-10-10,2024-10-16,C8683,Northmerica,Canada,P83744,Shampooack,FMCG,S271,Atlasourcing,Africa,WH2,Lahore,Road,229,6.15,988.35,8.97,6,1369,Delivered,292.48
100021,2025-11-05,2025-11-05,2025-11-11,C1699,Middleast,Unitedrabmirates,P64240,Firstidit,Healthcare,S215,Crescentogistics,Middleast,WH9,Johannesburg,Road,200,3.07,614.0,3.44,6,3175,Delivered,595.27
100022,2025-07-19,2025-07-20,2025-08-01,C4863,Northmerica,Mexico,P82991,Faceaskox,Healthcare,S953,Atlasourcing,Africa,WH4,Istanbul,Sea,160,9.49,118.4,0.94,12,354,Delivered,551.39
100023,2024-02-09,2024-06-09,2024-08-09,C6986,Middleast,Qatar,P60993,Storageabinet,Furniture,S507,Pioneeristribution,Asia,WH4,Istanbul,Air,22,5.29,436.38,9.94,2,85,Delivered,291.8
100024,2025-03-02,2025-08-02,2025-08-23,C6919,Asia,Bangladesh,P20966,Router,Electronics,S953,Summitupplyo,Europe,WH0,Cairo,Sea,60,41.58,4494.8,0.11,21,624,Delivered,2896.47
